time,open,high,low,close,volume
2020.02.17 17:00,1.300710,1.301460,1.300600,1.300630,2771
2020.02.17 18:00,1.300640,1.301470,1.300220,1.301010,1534
2020.02.17 19:00,1.301010,1.301390,1.300830,1.301090,1101
2020.02.17 20:00,1.301120,1.301440,1.300190,1.300270,3713
2020.02.17 21:00,1.300250,1.300440,1.299750,1.300010,2282
2020.02.17 22:00,1.299990,1.300260,1.299830,1.300120,1888
2020.02.17 23:00,1.300120,1.300400,1.300010,1.300350,2238
2020.02.18 00:00,1.300340,1.300510,1.299950,1.300330,425
2020.02.18 01:00,1.300260,1.300700,1.300210,1.300540,1356
2020.02.18 02:00,1.300540,1.300580,1.299340,1.299540,2131
2020.02.18 03:00,1.299510,1.299890,1.299160,1.299780,2674
2020.02.18 04:00,1.299780,1.299960,1.299250,1.299860,1668
2020.02.18 05:00,1.299850,1.300520,1.299670,1.300280,1355
2020.02.18 06:00,1.300280,1.300430,1.299490,1.299500,1358
2020.02.18 07:00,1.299510,1.300000,1.299390,1.299550,1259
2020.02.18 08:00,1.299550,1.300290,1.298560,1.298630,1887
2020.02.18 09:00,1.298640,1.300190,1.298570,1.299830,3837
2020.02.18 10:00,1.299770,1.299830,1.297050,1.297790,4762
2020.02.18 11:00,1.297780,1.300360,1.297600,1.299540,4582
2020.02.18 12:00,1.299550,1.303820,1.299320,1.302880,5556
2020.02.18 13:00,1.302880,1.304860,1.302790,1.304050,4138
2020.02.18 14:00,1.304090,1.304310,1.303180,1.303210,3836
2020.02.18 15:00,1.303180,1.303640,1.302000,1.302600,4475
2020.02.18 16:00,1.302600,1.303150,1.301650,1.302550,4246
2020.02.18 17:00,1.302560,1.304190,1.301700,1.303600,4049
2020.02.18 18:00,1.303600,1.303740,1.301240,1.301670,3732
2020.02.18 19:00,1.301670,1.301670,1.299980,1.300370,3582
2020.02.18 20:00,1.300370,1.300380,1.299490,1.299680,2304
2020.02.18 21:00,1.299650,1.300150,1.299530,1.299880,2163
2020.02.18 22:00,1.299880,1.300070,1.299550,1.299970,1579
2020.02.18 23:00,1.299940,1.300190,1.299540,1.299540,1298
2020.02.19 00:00,1.299560,1.300000,1.299480,1.299830,740
2020.02.19 01:00,1.299840,1.300470,1.299680,1.299910,2092
2020.02.19 02:00,1.299910,1.300150,1.299680,1.300010,1975
2020.02.19 03:00,1.300000,1.300310,1.299820,1.300080,2250
2020.02.19 04:00,1.300080,1.300210,1.299550,1.299690,2393
2020.02.19 05:00,1.299720,1.299970,1.299590,1.299800,1017
2020.02.19 06:00,1.299790,1.300110,1.299760,1.300080,779
2020.02.19 07:00,1.300080,1.300200,1.299580,1.299900,1151
2020.02.19 08:00,1.299890,1.299890,1.298710,1.299440,1563
2020.02.19 09:00,1.299420,1.301140,1.299000,1.300620,3340
2020.02.19 10:00,1.300590,1.301800,1.299260,1.299390,3708
2020.02.19 11:00,1.299400,1.302300,1.297440,1.300660,5219
2020.02.19 12:00,1.300600,1.300940,1.297320,1.298150,3642
2020.02.19 13:00,1.298140,1.298880,1.297480,1.298700,3403
2020.02.19 14:00,1.298710,1.299890,1.298160,1.299070,3603
2020.02.19 15:00,1.299110,1.299160,1.297300,1.297770,4458
2020.02.19 16:00,1.297780,1.297910,1.294880,1.295850,4647
2020.02.19 17:00,1.295880,1.296130,1.292300,1.295060,4765
2020.02.19 18:00,1.295030,1.295380,1.293100,1.293300,4295
2020.02.19 19:00,1.293290,1.293490,1.291780,1.291780,2961
2020.02.19 20:00,1.291780,1.292140,1.291420,1.291600,2663
2020.02.19 21:00,1.291790,1.292070,1.290750,1.291920,3271
2020.02.19 22:00,1.291930,1.292930,1.291890,1.292300,3075
2020.02.19 23:00,1.292310,1.292800,1.291680,1.291740,1699
2020.02.20 00:00,1.291700,1.292440,1.291070,1.291890,487
2020.02.20 01:00,1.291910,1.292620,1.291840,1.292540,1183
2020.02.20 02:00,1.292530,1.292810,1.291790,1.292690,2489
2020.02.20 03:00,1.292680,1.292730,1.291100,1.291470,2509
2020.02.20 04:00,1.291460,1.291790,1.290450,1.290490,2628
2020.02.20 05:00,1.290450,1.290840,1.290080,1.290780,2310
2020.02.20 06:00,1.290780,1.291220,1.290470,1.291190,2079
2020.02.20 07:00,1.291200,1.291440,1.290950,1.291050,1474
2020.02.20 08:00,1.291060,1.291090,1.289990,1.290320,1777
2020.02.20 09:00,1.290320,1.290720,1.288500,1.289860,4413
2020.02.20 10:00,1.289900,1.290240,1.288300,1.290080,4182
2020.02.20 11:00,1.290020,1.292510,1.289980,1.290190,4761
2020.02.20 12:00,1.290190,1.290710,1.287390,1.287950,4506
2020.02.20 13:00,1.287940,1.288490,1.284880,1.287040,4631
2020.02.20 14:00,1.286960,1.287470,1.285530,1.286500,3996
2020.02.20 15:00,1.286450,1.288150,1.284900,1.285800,4283
2020.02.20 16:00,1.285820,1.287530,1.285390,1.286930,3939
2020.02.20 17:00,1.286960,1.288380,1.286260,1.288000,3786
2020.02.20 18:00,1.288040,1.288850,1.287100,1.287640,4214
2020.02.20 19:00,1.287640,1.288770,1.287580,1.287710,2906
2020.02.20 20:00,1.287720,1.288220,1.287460,1.287970,1988
2020.02.20 21:00,1.288040,1.288820,1.287830,1.288020,2113
2020.02.20 22:00,1.288020,1.288220,1.287600,1.288150,1539
2020.02.20 23:00,1.288090,1.288240,1.287530,1.287990,1147
2020.02.21 00:00,1.287950,1.288580,1.287060,1.287850,691
2020.02.21 01:00,1.287810,1.288600,1.287730,1.288060,1300
2020.02.21 02:00,1.288060,1.288620,1.287860,1.288140,1788
2020.02.21 03:00,1.288130,1.288770,1.288040,1.288680,2130
2020.02.21 04:00,1.288680,1.289440,1.288510,1.288810,2319
2020.02.21 05:00,1.288820,1.289380,1.288820,1.289380,1856
2020.02.21 06:00,1.289340,1.289370,1.288850,1.289310,1291
2020.02.21 07:00,1.289300,1.289860,1.289300,1.289480,1656
2020.02.21 08:00,1.289480,1.289600,1.288960,1.289280,1608
2020.02.21 09:00,1.289310,1.290270,1.288620,1.288880,3537
2020.02.21 10:00,1.288880,1.291730,1.288450,1.291210,5569
2020.02.21 11:00,1.291220,1.292710,1.291220,1.291610,4748
2020.02.21 12:00,1.291610,1.292330,1.290780,1.290950,3702
2020.02.21 13:00,1.290960,1.295110,1.290800,1.294710,4517
2020.02.21 14:00,1.294720,1.294720,1.292460,1.292720,4058
2020.02.21 15:00,1.292820,1.293890,1.292520,1.293500,4054
2020.02.21 16:00,1.293470,1.295840,1.292630,1.294510,4626
2020.02.21 17:00,1.294440,1.297740,1.293840,1.296220,5921
2020.02.21 18:00,1.296250,1.297110,1.295680,1.296420,4265
2020.02.21 19:00,1.296430,1.297660,1.296420,1.297380,3061
